num_events,experimental_context,num_events_test,rmse_ml,rmse_fitting
1000,1p2uW_3000cps,1000,0.21594376992171296,0.17203636669987274
1000,1p2uW_3000cps,10000,0.21232700966502702,0.0561695953960809
1000,1p2uW_3000cps,100000,0.21229654174047882,0.01803002259075266
1000,1p2uW_3000cps,1000000,0.2122584106411453,0.005532444953906086
1000,2p5uW_4000cps,1000,0.08801123358243851,0.17066532551906907
1000,2p5uW_4000cps,10000,0.06761141980878439,0.05303789761548468
1000,2p5uW_4000cps,100000,0.06440535432093981,0.016968718480219032
1000,2p5uW_4000cps,1000000,0.06405192645970252,0.005787189218912458
1000,4uW_4100cps,1000,0.06787868272761054,0.1836757491293229
1000,4uW_4100cps,10000,0.029976542752207506,0.05626618126425252
1000,4uW_4100cps,100000,0.02218140517846818,0.01934717330827459
1000,4uW_4100cps,1000000,0.020353506483634664,0.005790915008057581
1000,8uW_5100cps,1000,0.08213080156283581,0.21046715566990373
1000,8uW_5100cps,10000,0.055845263981266706,0.06771690071441064
1000,8uW_5100cps,100000,0.05287851856313681,0.022089753929102517
1000,8uW_5100cps,1000000,0.05298403676657303,0.006736396369165042
1000,10uW_6000cps,1000,0.08578407949976313,0.19789635987020537
1000,10uW_6000cps,10000,0.06173022066391432,0.0678820894930723
1000,10uW_6000cps,100000,0.05896051947012094,0.02168554912914693
1000,10uW_6000cps,1000000,0.05911627257088064,0.006643399935052296
1000,10uW_12000cps,1000,0.12353141987733911,0.2120249244026912
1000,10uW_12000cps,10000,0.10974834241080787,0.0653541082434674
1000,10uW_12000cps,100000,0.10925845040627,0.02075154000575276
1000,10uW_12000cps,1000000,0.10907751224579867,0.006688055446565908
1000,20uW_7000cps,1000,0.07585024759431112,0.23965048115044213
1000,20uW_7000cps,10000,0.031083372339289872,0.07818843591268039
1000,20uW_7000cps,100000,0.022202457165872654,0.024490118774226615
1000,20uW_7000cps,1000000,0.02162250350388738,0.007990823065856604
1000,30uW_7000cps,1000,0.1452452772563208,0.24753515286572883
1000,30uW_7000cps,10000,0.13811442371253072,0.10201157908055547
1000,30uW_7000cps,100000,0.13504802046898873,0.032243539749541715
1000,30uW_7000cps,1000000,0.1353830615958648,0.010153991303090484
10000,1p2uW_3000cps,1000,0.1490660147168014,0.17203636669987274
10000,1p2uW_3000cps,10000,0.1148846160123598,0.0561695953960809
10000,1p2uW_3000cps,100000,0.11255895978459758,0.01803002259075266
10000,1p2uW_3000cps,1000000,0.111807237924048,0.005532444953906086
10000,2p5uW_4000cps,1000,0.128370556486443,0.17066532551906907
10000,2p5uW_4000cps,10000,0.04076207214935946,0.05303789761548468
10000,2p5uW_4000cps,100000,0.015620239542585375,0.016968718480219032
10000,2p5uW_4000cps,1000000,0.010396324686959472,0.005787189218912458
10000,4uW_4100cps,1000,0.13091704813815586,0.1836757491293229
10000,4uW_4100cps,10000,0.04375757290187441,0.05626618126425252
10000,4uW_4100cps,100000,0.015048663287630418,0.01934717330827459
10000,4uW_4100cps,1000000,0.009321506206801639,0.005790915008057581
10000,8uW_5100cps,1000,0.13468953229511332,0.21046715566990373
10000,8uW_5100cps,10000,0.05502554791170102,0.06771690071441064
10000,8uW_5100cps,100000,0.03635671743485333,0.022089753929102517
10000,8uW_5100cps,1000000,0.034684615297336664,0.006736396369165042
10000,10uW_6000cps,1000,0.150567451558153,0.19789635987020537
10000,10uW_6000cps,10000,0.05272586481730898,0.0678820894930723
10000,10uW_6000cps,100000,0.02932267038930836,0.02168554912914693
10000,10uW_6000cps,1000000,0.024673693503267202,0.006643399935052296
10000,10uW_12000cps,1000,0.14394666631151018,0.2120249244026912
10000,10uW_12000cps,10000,0.06217968685119662,0.0653541082434674
10000,10uW_12000cps,100000,0.04931837911342829,0.02075154000575276
10000,10uW_12000cps,1000000,0.048076146907129344,0.006688055446565908
10000,20uW_7000cps,1000,0.15340736923082038,0.23965048115044213
10000,20uW_7000cps,10000,0.05250870856338901,0.07818843591268039
10000,20uW_7000cps,100000,0.026589172706976482,0.024490118774226615
10000,20uW_7000cps,1000000,0.02290889330219256,0.007990823065856604
10000,30uW_7000cps,1000,0.16904190635996671,0.24753515286572883
10000,30uW_7000cps,10000,0.10104377155629529,0.10201157908055547
10000,30uW_7000cps,100000,0.08939221627106222,0.032243539749541715
10000,30uW_7000cps,1000000,0.08847037598514557,0.010153991303090484
100000,1p2uW_3000cps,1000,0.16409107367740525,0.17203636669987274
100000,1p2uW_3000cps,10000,0.07366484332654315,0.0561695953960809
100000,1p2uW_3000cps,100000,0.06039086765653184,0.01803002259075266
100000,1p2uW_3000cps,1000000,0.05785326435721245,0.005532444953906086
100000,2p5uW_4000cps,1000,0.1788638538474204,0.17066532551906907
100000,2p5uW_4000cps,10000,0.0544001126142495,0.05303789761548468
100000,2p5uW_4000cps,100000,0.02002326294603397,0.016968718480219032
100000,2p5uW_4000cps,1000000,0.011502473995821131,0.005787189218912458
100000,4uW_4100cps,1000,0.19122456115842462,0.1836757491293229
100000,4uW_4100cps,10000,0.059324175636352776,0.05626618126425252
100000,4uW_4100cps,100000,0.02214094502968977,0.01934717330827459
100000,4uW_4100cps,1000000,0.01606243353992936,0.005790915008057581
100000,8uW_5100cps,1000,0.19702202026619023,0.21046715566990373
100000,8uW_5100cps,10000,0.060740532474959336,0.06771690071441064
100000,8uW_5100cps,100000,0.022592980436553566,0.022089753929102517
100000,8uW_5100cps,1000000,0.01225324602964843,0.006736396369165042
100000,10uW_6000cps,1000,0.19586092304188038,0.19789635987020537
100000,10uW_6000cps,10000,0.0724729064318029,0.0678820894930723
100000,10uW_6000cps,100000,0.044715197599913034,0.02168554912914693
100000,10uW_6000cps,1000000,0.039041950710032115,0.006643399935052296
100000,10uW_12000cps,1000,0.20410846768265883,0.2120249244026912
100000,10uW_12000cps,10000,0.061995017762384516,0.0653541082434674
100000,10uW_12000cps,100000,0.022602957686316583,0.02075154000575276
100000,10uW_12000cps,1000000,0.013369102643135651,0.006688055446565908
100000,20uW_7000cps,1000,0.21185606694435455,0.23965048115044213
100000,20uW_7000cps,10000,0.07293311258632715,0.07818843591268039
100000,20uW_7000cps,100000,0.04263304667318624,0.024490118774226615
100000,20uW_7000cps,1000000,0.03748495106011307,0.007990823065856604
100000,30uW_7000cps,1000,0.20356901852524192,0.24753515286572883
100000,30uW_7000cps,10000,0.09222201558870674,0.10201157908055547
100000,30uW_7000cps,100000,0.06983263025703984,0.032243539749541715
100000,30uW_7000cps,1000000,0.06672770200744683,0.010153991303090484
1000000,1p2uW_3000cps,1000,0.20995922506777154,0.17203636669987274
1000000,1p2uW_3000cps,10000,0.07930629904362232,0.0561695953960809
1000000,1p2uW_3000cps,100000,0.053422348138179296,0.01803002259075266
1000000,1p2uW_3000cps,1000000,0.048804334903205106,0.005532444953906086
1000000,2p5uW_4000cps,1000,0.23327234474118919,0.17066532551906907
1000000,2p5uW_4000cps,10000,0.06955355634862824,0.05303789761548468
1000000,2p5uW_4000cps,100000,0.028314025642107696,0.016968718480219032
1000000,2p5uW_4000cps,1000000,0.01640194801117465,0.005787189218912458
1000000,4uW_4100cps,1000,0.2509676707750929,0.1836757491293229
1000000,4uW_4100cps,10000,0.07782425226345711,0.05626618126425252
1000000,4uW_4100cps,100000,0.029315993304342657,0.01934717330827459
1000000,4uW_4100cps,1000000,0.01592130578651729,0.005790915008057581
1000000,8uW_5100cps,1000,0.28644983513409267,0.21046715566990373
1000000,8uW_5100cps,10000,0.09062133357278762,0.06771690071441064
1000000,8uW_5100cps,100000,0.030480981449415204,0.022089753929102517
1000000,8uW_5100cps,1000000,0.013409422564175846,0.006736396369165042
1000000,10uW_6000cps,1000,0.2788659549154984,0.19789635987020537
1000000,10uW_6000cps,10000,0.08795856257696348,0.0678820894930723
1000000,10uW_6000cps,100000,0.0279406240606023,0.02168554912914693
1000000,10uW_6000cps,1000000,0.010867924939922877,0.006643399935052296
1000000,10uW_12000cps,1000,0.2813722053787877,0.2120249244026912
1000000,10uW_12000cps,10000,0.08631185088884316,0.0653541082434674
1000000,10uW_12000cps,100000,0.027946714606533436,0.02075154000575276
1000000,10uW_12000cps,1000000,0.00876089037685088,0.006688055446565908
1000000,20uW_7000cps,1000,0.24750922573928905,0.23965048115044213
1000000,20uW_7000cps,10000,0.08723898527133447,0.07818843591268039
1000000,20uW_7000cps,100000,0.05159034545849653,0.024490118774226615
1000000,20uW_7000cps,1000000,0.045703821105866356,0.007990823065856604
1000000,30uW_7000cps,1000,0.2337167004127162,0.24753515286572883
1000000,30uW_7000cps,10000,0.09756126090531256,0.10201157908055547
1000000,30uW_7000cps,100000,0.06400522130445795,0.032243539749541715
1000000,30uW_7000cps,1000000,0.06018069644951751,0.010153991303090484
