num_events,experimental_context,num_events_test,rmse_ml
1000,1p2uW_3000cps,1000,0.03973666076296326
1000,1p2uW_3000cps,10000,0.028381044546207636
1000,1p2uW_3000cps,100000,0.02741331880265068
1000,1p2uW_3000cps,1000000,0.027359773159473313
1000,2p5uW_4000cps,1000,0.03019139988709747
1000,2p5uW_4000cps,10000,0.010956207494770791
1000,2p5uW_4000cps,100000,0.008474097664944915
1000,2p5uW_4000cps,1000000,0.008197762758967466
1000,4uW_4100cps,1000,0.031649310484201824
1000,4uW_4100cps,10000,0.012815617298343608
1000,4uW_4100cps,100000,0.009883378944486305
1000,4uW_4100cps,1000000,0.00964499590122372
1000,8uW_5100cps,1000,0.03887768145739872
1000,8uW_5100cps,10000,0.008812250498343834
1000,8uW_5100cps,100000,0.0059947007918873165
1000,8uW_5100cps,1000000,0.005726596050530787
1000,10uW_6000cps,1000,0.033720909120780226
1000,10uW_6000cps,10000,0.009209782095113282
1000,10uW_6000cps,100000,0.005814547801274237
1000,10uW_6000cps,1000000,0.005420737972108459
1000,10uW_12000cps,1000,0.03347281110776511
1000,10uW_12000cps,10000,0.007969920442761073
1000,10uW_12000cps,100000,0.0031516031055466073
1000,10uW_12000cps,1000000,0.0025112758408710936
1000,20uW_7000cps,1000,0.05801088633170345
1000,20uW_7000cps,10000,0.01848806254287744
1000,20uW_7000cps,100000,0.012716526087906714
1000,20uW_7000cps,1000000,0.012465125253815925
1000,30uW_7000cps,1000,0.10440018993262969
1000,30uW_7000cps,10000,0.06479267232773943
1000,30uW_7000cps,100000,0.05838842793023045
1000,30uW_7000cps,1000000,0.057641082123974174
10000,1p2uW_3000cps,1000,0.042691023461954435
10000,1p2uW_3000cps,10000,0.029168687554858044
10000,1p2uW_3000cps,100000,0.028194121284345126
10000,1p2uW_3000cps,1000000,0.027941466807969252
10000,2p5uW_4000cps,1000,0.040615748181415
10000,2p5uW_4000cps,10000,0.019500178152609068
10000,2p5uW_4000cps,100000,0.01859181125138611
10000,2p5uW_4000cps,1000000,0.018431061712666327
10000,4uW_4100cps,1000,0.04155009685845819
10000,4uW_4100cps,10000,0.019364998743681715
10000,4uW_4100cps,100000,0.01671653184051113
10000,4uW_4100cps,1000000,0.016822920917981096
10000,8uW_5100cps,1000,0.05009700415811237
10000,8uW_5100cps,10000,0.01325884771519791
10000,8uW_5100cps,100000,0.010463510157570773
10000,8uW_5100cps,1000000,0.010219616677694866
10000,10uW_6000cps,1000,0.04167298595237704
10000,10uW_6000cps,10000,0.011127696641559387
10000,10uW_6000cps,100000,0.006209936036641155
10000,10uW_6000cps,1000000,0.005307957990194265
10000,10uW_12000cps,1000,0.04754857152048453
10000,10uW_12000cps,10000,0.012355735869500955
10000,10uW_12000cps,100000,0.004833770575804938
10000,10uW_12000cps,1000000,0.0031043272420609677
10000,20uW_7000cps,1000,0.06293165531224487
10000,20uW_7000cps,10000,0.021320150432850134
10000,20uW_7000cps,100000,0.0187514293970143
10000,20uW_7000cps,1000000,0.018522078286523927
10000,30uW_7000cps,1000,0.09909025967804809
10000,30uW_7000cps,10000,0.05708288167140991
10000,30uW_7000cps,100000,0.050963345156344174
10000,30uW_7000cps,1000000,0.050208497744137916
100000,1p2uW_3000cps,1000,0.058415319808489546
100000,1p2uW_3000cps,10000,0.04266442572879726
100000,1p2uW_3000cps,100000,0.04048304390461755
100000,1p2uW_3000cps,1000000,0.04040721590616957
100000,2p5uW_4000cps,1000,0.05610815023973478
100000,2p5uW_4000cps,10000,0.022636623919199177
100000,2p5uW_4000cps,100000,0.01825422048141737
100000,2p5uW_4000cps,1000000,0.018073838793929754
100000,4uW_4100cps,1000,0.05720958005978942
100000,4uW_4100cps,10000,0.021939593966500248
100000,4uW_4100cps,100000,0.015857887771902324
100000,4uW_4100cps,1000000,0.01552928862541062
100000,8uW_5100cps,1000,0.0680353978204454
100000,8uW_5100cps,10000,0.02177691709480716
100000,8uW_5100cps,100000,0.014311393028419533
100000,8uW_5100cps,1000000,0.013591659076508094
100000,10uW_6000cps,1000,0.06207972536190029
100000,10uW_6000cps,10000,0.017608260451552213
100000,10uW_6000cps,100000,0.005199136636587121
100000,10uW_6000cps,1000000,0.0016970089419437073
100000,10uW_12000cps,1000,0.062205574942328264
100000,10uW_12000cps,10000,0.01876596791291421
100000,10uW_12000cps,100000,0.006549060911635987
100000,10uW_12000cps,1000000,0.0032723742729506193
100000,20uW_7000cps,1000,0.08233130521018646
100000,20uW_7000cps,10000,0.035041821643642355
100000,20uW_7000cps,100000,0.029111213167451404
100000,20uW_7000cps,1000000,0.028675510928493842
100000,30uW_7000cps,1000,0.10164776868132397
100000,30uW_7000cps,10000,0.0626925662046965
100000,30uW_7000cps,100000,0.05488123380422196
100000,30uW_7000cps,1000000,0.05402056964269917
1000000,1p2uW_3000cps,1000,0.11039456513978686
1000000,1p2uW_3000cps,10000,0.05450686667243835
1000000,1p2uW_3000cps,100000,0.04711617992417052
1000000,1p2uW_3000cps,1000000,0.045849762321096964
1000000,2p5uW_4000cps,1000,0.12744184044860135
1000000,2p5uW_4000cps,10000,0.04455081811208191
1000000,2p5uW_4000cps,100000,0.020712740880113746
1000000,2p5uW_4000cps,1000000,0.016684765377496566
1000000,4uW_4100cps,1000,0.14041960531463146
1000000,4uW_4100cps,10000,0.04564004711034038
1000000,4uW_4100cps,100000,0.02053992518706902
1000000,4uW_4100cps,1000000,0.014238470663649989
1000000,8uW_5100cps,1000,0.15686679851274635
1000000,8uW_5100cps,10000,0.05097404820357374
1000000,8uW_5100cps,100000,0.021384908671732046
1000000,8uW_5100cps,1000000,0.016187973898211725
1000000,10uW_6000cps,1000,0.17591594782964742
1000000,10uW_6000cps,10000,0.056532821873416746
1000000,10uW_6000cps,100000,0.024445605016401133
1000000,10uW_6000cps,1000000,0.018720937292310606
1000000,10uW_12000cps,1000,0.15695221323113617
1000000,10uW_12000cps,10000,0.047619819777920604
1000000,10uW_12000cps,100000,0.015598950963155259
1000000,10uW_12000cps,1000000,0.005401104919884258
1000000,20uW_7000cps,1000,0.13452024805645477
1000000,20uW_7000cps,10000,0.056757927397936496
1000000,20uW_7000cps,100000,0.045223191645442105
1000000,20uW_7000cps,1000000,0.04376171856042182
1000000,30uW_7000cps,1000,0.1230280123551388
1000000,30uW_7000cps,10000,0.0699185521332088
1000000,30uW_7000cps,100000,0.05898469598835986
1000000,30uW_7000cps,1000000,0.05813377832257647
